Timestamp (ns),raw,QUAT W,QUAT X,QUAT Y,QUAT Z,ACCEL X,ACCEL Y,ACCEL Z,GYRO X,GYRO Y,GYRO Z
1599834797476246776,0e64ee6e2c18d78dee460422f6c7003cfb25e413,3684,-4498,11288,-10355,-4538,1058,-2361,60,-1243,-7149
1599834797478207248,0dc8ed7a2bbad75eed8703dcf74bfff0fb27e41e,3528,-4742,11194,-10402,-4729,988,-2229,-16,-1241,-7138
1599834797517959208,0909e7372920d6a9ec80031ef98bfd5cfd28e44b,2313,-6345,10528,-10583,-4992,798,-1653,-676,-728,-7093
1599834797525379704,084ce65c28bcd6a4ecb802c8fa2afd06fd56e43d,2124,-6564,10428,-10588,-4936,712,-1494,-762,-682,-7107
1599834797527270298,011fe0fc25d9d6c4ec7e010dfbbff92806fde5c9,287,-7940,9689,-10556,-4994,269,-1089,-1752,1789,-6711
1599834797562897204,000ae08d2585d6c7ec99012bfc24f8b7083ce5eb,10,-8051,9605,-10553,-4967,299,-988,-1865,2108,-6677
1599834797564401858,f700de3422c8d737f054fdb3fe6ff6780bb8e7fe,-2304,-8652,8904,-10441,-4012,-589,-401,-2440,3000,-6146
1599834797607900532,f5d1de132273d752f01dfdaefe82f5aa0cbee84b,-2607,-8685,8819,-10414,-4067,-594,-382,-2646,3262,-6069
1599834797610702951,eb15dfd71f43d76af427fee4fdbdf3821af4eaf2,-5355,-8233,8003,-10390,-3033,-284,-579,-3198,6900,-5390
1599834797652894572,e9a8e05a1ec3d764f450fed3fc54f3421b7aeb3c,-5720,-8102,7875,-10396,-2992,-301,-940,-3262,7034,-5316
1599834797697867025,de32e5a71a86d88efee0fc29f7fdf89e197ff189,-8654,-6745,6790,-10098,-288,-983,-2051,-1890,6527,-3703
1599834797700684113,dd37e64319f6d8a2fa88fb91f693f6ac1850f18a,-8905,-6589,6646,-10078,-1400,-1135,-2413,-2388,6224,-3702
1599834797702793657,d4daed211566da4fff7cfef4f1dcf2d21bd0f3c8,-11046,-4831,5478,-9649,-132,-268,-3620,-3374,7120,-3128
1599834797742933121,d404ee0b14eada8ffee20048f23df0db18fcf498,-11260,-4597,5354,-9585,-286,72,-3523,-3877,6396,-2920
1599834797787947061,cfecf33812b3dc57fcca0289f5c4f5570cd1fb1e,-12308,-3272,4787,-9129,-822,649,-2620,-2729,3281,-1250
1599834797790316847,cf91f3ce1280dc83fcd3024af5e3f5980ca3fb92,-12399,-3122,4736,-9085,-813,586,-2589,-2664,3235,-1134
1599834797792294308,cd10f92e10a2ddabfcb4017df508f5190ff6fdf5,-13040,-1746,4258,-8789,-844,381,-2808,-2791,4086,-523
1599834797832923036,cccef9de104dddc4fce401abf3bcf6540fddfe5c,-13106,-1570,4173,-8764,-796,427,-3140,-2476,4061,-420
1599834797837271787,cb79fdd50e4fde6afdba0009f0fffb1e0808fe40,-13447,-555,3663,-8598,-582,9,-3841,-1250,2056,-448
1599834797877830073,cb5bfe2b0e20de80fdb7ff35f178fb7b0831fe86,-13477,-469,3616,-8576,-585,-203,-3720,-1157,2097,-378
1599834797885034753,ff14f264fde206fdff4fca6802030bd5df23fe6c,-236,-3484,-542,1789,-177,-13720,515,3029,-8413,-404
1599834797922831134,ff88f24cfe0f06e9ff92ca5a02390ba3df2bfeb7,-120,-3508,-497,1769,-110,-13734,569,2979,-8405,-329
1599834797924322869,ca4d026b0b74df33fee70059f272fe80061fffc6,-13747,619,2932,-8397,-281,89,-3470,-384,1567,-58
1599834797967865704,ca4202960b49df3bff25004ef26afebe0592ffb6,-13758,662,2889,-8389,-219,78,-3478,-322,1426,-74
